황사일수,,,,,,,,,,,,,,
지점/지역명 : 대구,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
평균 황사일수,,,,,,,,,,,,,,
연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
최근 10년,0.1,0.1,0.7,1.7,1.3,0,0,0,0,0.1,0.5,0.1,4.6,
최근  5년,0.2,0.2,1.4,2,1.4,0,0,0,0,0.2,0.4,0.2,6,
1990,0,0,0,6,0,0,0,0,0,0,0,0,6,14
1991,0,0,0,0,5,0,0,0,0,0,0,0,5,18
1992,0,0,0,1,0,0,0,0,0,0,0,0,1,28
1993,0,0,0,9,4,0,0,0,0,0,0,0,13,3
1994,0,0,0,1,0,0,0,0,0,0,0,0,1,28
1995,0,0,2,6,0,0,0,0,0,0,0,0,8,12
1996,0,0,0,2,3,0,0,0,0,0,0,0,5,18
1997,0,0,1,0,0,0,0,0,0,0,0,0,1,28
1998,0,0,3,7,0,0,0,0,0,0,0,0,10,9
1999,4,1,0,0,0,0,0,0,0,0,0,0,5,18
2000,0,0,4,4,0,0,0,0,0,0,0,0,8,12
2001,1,0,9,6,4,0,0,0,0,0,0,2,22,1
2002,0,0,5,5,0,0,0,0,0,0,2,0,12,4
2003,0,0,1,1,0,0,0,0,0,0,0,0,2,25
2004,0,1,3,1,1,0,0,0,0,0,0,0,6,14
2005,0,0,1,2,0,0,0,0,0,0,2,0,5,18
2006,0,0,4,6,1,0,0,0,0,0,0,0,11,8
2007,0,0,4,2,2,0,0,0,0,0,0,1,9,10
2008,0,0,2,0,2,0,0,0,0,0,0,2,6,14
2009,0,1,3,1,0,0,0,0,0,1,0,3,9,10
2010,0,0,7,2,1,0,0,0,0,0,3,2,15,2
2011,0,0,4,2,6,0,0,0,0,0,0,0,12,4
2012,0,0,0,0,0,0,0,0,0,0,2,0,2,25
2013,0,0,1,0,0,0,0,0,0,―,―,―,1,28
2014,―,―,―,―,―,―,―,―,―,―,―,―,0,33
2015,―,―,―,―,―,―,0,0,0,0,0,0,0,33
2016,0,0,0,4,2,0,0,0,0,0,0,0,6,14
2017,0,0,0,1,4,0,0,0,0,0,0,0,5,18
2018,0,0,0,2,0,0,0,0,0,0,3,0,5,18
2019,0,0,0,0,0,0,0,0,0,1,2,0,3,24
2020,0,1,0,0,0,0,0,0,0,0,0,0,1,28
2021,0,0,4,3,5,0,0,0,0,0,0,0,12,4
2022,0,0,1,0,0,0,0,0,0,0,0,1,2,25
2023,1,0,2,7,2,0,0,0,0,0,0,0,12,4
2024,0,0,0,0,0,0,0,0,0,0,0,0,0,33
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
평균 계절별 황사일수,,,,,,,,,,,,,,
연도,봄(3~5월),여름(6~8월),가을(9~11월),겨울(12~익년2월),,,,,,,,,,
최근 10년,3.7,0,0.6,0.3,,,,,,,,,,
최근  5년,4.8,0,0.6,0.6,,,,,,,,,,
1990,6,0,0,0,,,,,,,,,,
1991,5,0,0,0,,,,,,,,,,
1992,1,0,0,0,,,,,,,,,,
1993,13,0,0,0,,,,,,,,,,
1994,1,0,0,0,,,,,,,,,,
1995,8,0,0,0,,,,,,,,,,
1996,5,0,0,0,,,,,,,,,,
1997,1,0,0,0,,,,,,,,,,
1998,10,0,0,5,,,,,,,,,,
1999,0,0,0,0,,,,,,,,,,
2000,8,0,0,1,,,,,,,,,,
2001,19,0,0,2,,,,,,,,,,
2002,10,0,2,0,,,,,,,,,,
2003,2,0,0,1,,,,,,,,,,
2004,5,0,0,0,,,,,,,,,,
2005,3,0,2,0,,,,,,,,,,
2006,11,0,0,0,,,,,,,,,,
2007,8,0,0,1,,,,,,,,,,
2008,4,0,0,3,,,,,,,,,,
2009,4,0,1,3,,,,,,,,,,
2010,10,0,3,2,,,,,,,,,,
2011,12,0,0,0,,,,,,,,,,
2012,0,0,2,0,,,,,,,,,,
2013,1,0,0,―,,,,,,,,,,
2014,―,―,―,―,,,,,,,,,,
2015,―,0,0,0,,,,,,,,,,
2016,6,0,0,0,,,,,,,,,,
2017,5,0,0,0,,,,,,,,,,
2018,2,0,3,0,,,,,,,,,,
2019,0,0,3,1,,,,,,,,,,
2020,0,0,0,0,,,,,,,,,,
2021,12,0,0,0,,,,,,,,,,
2022,1,0,0,2,,,,,,,,,,
2023,11,0,0,0,,,,,,,,,,
2024,0,0,0,0,,,,,,,,,,
